listing_id,date,num_reviews,reviewers
425423,2025-04-01,1,675631619
302238,2025-07-01,1,690594336
530576,2024-10-01,1,502515987
425423,2025-07-01,1,142439977
763809,2024-11-01,1,413684219
425423,2025-02-01,1,247816287
425423,2025-03-01,1,216754804
794156,2024-10-01,1,1850691
763809,2024-09-01,1,34983035
530576,2025-06-01,1,1195274
29628,2025-01-01,4,"462207000,4758580,31921677,34617647"
29628,2024-12-01,4,"147581100,40329932,2789176,510788042"
314982,2025-05-01,1,656224105
666837,2025-03-01,1,520568924
29628,2024-09-01,6,"29862120,396504627,39826482,83221043,9664155,34066384"
235951,2024-09-01,1,78266499
29628,2025-04-01,3,"61752120,132704705,52586528"
69894,2024-09-01,1,98529988
29628,2025-07-01,1,4196095
29628,2025-06-01,4,"77013487,386265891,408438067,135256714"
69894,2025-06-01,1,250951702
666837,2025-02-01,1,563640167
69894,2024-11-01,1,78663320
666837,2024-09-01,1,77597196
29628,2025-05-01,4,"211920693,63082163,30608261,18508579"
100186,2024-12-01,1,25540816
69894,2024-12-01,1,431683075
29628,2025-03-01,2,"14203386,189745252"
29628,2025-02-01,1,489267896
100186,2025-08-01,1,26794003
29628,2024-11-01,3,"37300676,135839971,74761287"
100186,2025-04-01,1,93180850
235951,2025-06-01,1,125255752
666837,2025-06-01,1,132951380
666837,2025-05-01,1,53475121
29628,2024-10-01,4,"262280549,192308501,38266288,111789"
69894,2024-10-01,1,325348
232612,2025-01-01,3,"210783050,38507884,247943135"
893413,2024-11-01,1,79050521
232612,2025-07-01,1,303975223
417685,2025-04-01,1,1142589
232612,2024-10-01,3,"423098804,95759204,237965163"
232612,2025-04-01,1,99182288
232612,2025-02-01,2,"544715008,75555258"
773885,2025-06-01,1,43003062
651375,2025-04-01,1,391037914
417685,2024-12-01,1,41774979
773885,2025-03-01,1,288232469
765569,2025-07-01,1,35443196
651375,2025-01-01,1,2226797
417685,2024-09-01,1,5287345
651375,2024-10-01,1,32933657
773885,2025-02-01,1,405852014
417685,2025-05-01,1,233895255
773885,2024-12-01,1,423322449
765569,2025-01-01,1,53770962
753622,2024-09-01,1,459195818
232612,2024-11-01,3,"163639001,150462607,303083447"
232612,2025-05-01,5,"5123070,668922653,4687485,9623024,37259057"
64365,2024-11-01,1,4377596
232612,2024-09-01,4,"25371573,208117296,584584917,2100345"
232612,2025-08-01,3,"505698997,686114613,380521691"
765569,2025-05-01,2,"198098211,51965833"
765569,2024-11-01,1,64731178
417685,2025-07-01,1,203801354
417685,2025-01-01,1,57992451
232612,2025-03-01,4,"266997535,248638735,28330267,1216560"
773885,2025-04-01,1,19980246
651375,2025-06-01,1,24692389
753622,2024-11-01,1,250745098
232612,2024-12-01,2,"402314638,182123246"
232612,2025-06-01,4,"98790527,136942984,269550869,231960993"
12937,2024-09-01,3,"533596685,43842464,12649409"
12937,2025-06-01,2,"494166212,180231216"
94783,2024-09-01,1,12007439
94783,2025-08-01,1,51696238
699472,2025-07-01,1,227353945
699472,2025-05-01,6,"73688598,587530419,379002763,20630540,118765613,41575971"
94783,2025-04-01,1,408197964
699472,2024-10-01,5,"385883985,519609712,6218187,210605708,28828467"
46911,2024-09-01,1,209693488
94783,2025-05-01,1,114898476
699472,2025-02-01,3,"132953623,675793345,22733511"
226021,2024-09-01,1,24029267
699472,2025-01-01,1,12534390
94783,2025-01-01,2,"47137159,504173854"
12937,2025-03-01,1,81980223
12937,2024-11-01,3,"62544811,480087026,584504593"
46911,2025-06-01,1,97029077
828616,2025-04-01,1,679175428
94783,2024-12-01,2,"154935326,148032737"
209310,2024-09-01,1,558021343
46911,2024-11-01,1,189600022
46911,2025-07-01,1,571850318
46911,2024-10-01,1,250100806
46911,2025-03-01,1,407109929
699472,2025-03-01,5,"15259488,51534753,87517405,160669616,225822530"
94783,2024-11-01,1,4787485
29013,2025-05-01,1,488638750
12937,2024-10-01,2,"75302054,422555993"
699472,2025-04-01,2,"548555990,17078688"
209310,2025-01-01,1,85479522
209310,2024-11-01,1,7758798
94783,2024-10-01,3,"21089779,10287709,183763220"
94783,2025-03-01,2,"22329953,447530780"
12937,2024-12-01,1,40400922
699472,2024-12-01,3,"3193080,10020532,19415808"
699472,2025-06-01,5,"13822898,100257095,142091474,146821195,10907168"
12937,2025-05-01,2,"11672218,415900997"
12937,2025-04-01,2,"29370158,61243616"
699472,2024-09-01,6,"118354137,245698609,23497473,226608202,22211620,454825574"
699472,2024-11-01,5,"198031328,183038890,47047107,61301607,283620721"
699472,2025-08-01,3,"21110375,186153730,48416591"
12937,2025-01-01,1,44369677
645075,2025-05-01,3,"22177011,157419883,424905585"
645075,2024-09-01,3,"246115030,282604039,503594504"
704838,2025-05-01,1,402696389
645075,2025-03-01,2,"33532566,452807308"
645075,2024-12-01,4,"27263761,45594872,489405239,92823890"
645075,2025-06-01,1,39267042
645075,2025-01-01,3,"8411665,116907896,171454952"
292800,2024-11-01,1,48420003
292800,2025-01-01,1,4667343
721762,2025-05-01,1,21527280
14314,2024-09-01,1,259805341
645075,2024-10-01,5,"439911288,80383405,29249369,245809770,80302095"
645075,2025-08-01,2,"194803240,703571778"
645075,2025-02-01,3,"511377945,428694731,25456645"
645075,2024-11-01,1,412908461
721762,2024-10-01,1,7675607
645075,2025-07-01,2,"322735341,82050584"
66251,2024-10-01,1,9294426
170761,2024-10-01,5,"6226677,44798749,4736622,74622195,6509107"
170761,2025-02-01,4,"34815607,543805520,151681362,1845878"
225976,2025-01-01,1,35314576
170761,2025-04-01,6,"331180311,38467973,6875592,44925261,111204971,6762133"
170761,2025-06-01,6,"437070399,21786588,36007681,3703715,12909338,290527892"
170761,2025-05-01,6,"130956951,4356,247301885,128258347,354961984,480111130"
77765,2024-09-01,1,27051600
170761,2025-01-01,2,"31761813,60157836"
456190,2024-10-01,1,73119567
170761,2025-07-01,4,"361015835,56490374,168371180,9089665"
170761,2024-11-01,6,"60016433,151788957,110345423,214186832,38033236,570522415"
225976,2024-12-01,1,582518668
491123,2024-10-01,1,519324047
235960,2025-04-01,1,9665611
170761,2024-09-01,3,"298187192,565264660,61486515"
690603,2024-10-01,1,274325370
