listing_id,date,vacant_days,reserved_days,occupancy,revenue,rate_avg,booked_rate_avg,booking_lead_time_avg,length_of_stay_avg,min_nights_avg,native_booked_rate_avg,native_rate_avg,native_revenue
826685,2025-01-01,1,30,0.968,1464.0,48.8,48.8,18,31,30,49.0,49.0,1464.0
49048,2025-01-01,31,0,0.0,0.0,97.5,,,,30,,98.0,0.0
826685,2024-12-01,18,13,0.419,629.0,46.9,48.4,84,13,30,48.0,47.0,629.0
781865,2025-02-01,0,28,1.0,4509.0,161.0,161.0,,,30,161.0,161.0,4509.0
251277,2025-05-01,29,2,0.065,243.0,117.1,121.5,61,2,30,122.0,117.0,243.0
251277,2025-04-01,29,1,0.033,112.0,117.9,112.0,1,1,30,112.0,118.0,112.0
49048,2024-11-01,30,0,0.0,0.0,105.6,,,,,,106.0,0.0
826685,2025-04-01,20,10,0.333,507.0,49.8,50.7,40,18,30,51.0,50.0,507.0
781865,2025-05-01,10,21,0.677,3128.0,155.3,149.0,,,30,149.0,155.0,3128.0
826685,2025-02-01,21,7,0.25,337.0,47.2,48.1,1,14,30,48.0,47.0,337.0
251277,2024-11-01,25,5,0.167,659.0,135.8,131.8,1,5,,132.0,136.0,659.0
781865,2024-12-01,27,4,0.129,693.0,171.8,173.2,1,3,,173.0,172.0,693.0
49048,2025-02-01,28,0,0.0,0.0,85.8,,,,30,,86.0,0.0
826685,2024-10-01,6,25,0.806,1167.0,46.3,46.7,20,25,,47.0,46.0,1167.0
826685,2025-07-01,20,11,0.355,544.0,50.7,49.5,69,11,30,50.0,51.0,544.0
49048,2025-03-01,31,0,0.0,0.0,100.0,,,,30,,100.0,0.0
49048,2025-07-01,5,26,0.839,2135.0,81.4,82.1,,,30,82.0,81.0,2135.0
826685,2024-11-01,30,0,0.0,0.0,44.7,,,,,,45.0,0.0
251277,2024-10-01,11,20,0.645,2345.0,121.6,117.2,1,20,,117.0,122.0,2345.0
826685,2025-06-01,4,26,0.867,1361.0,52.2,52.3,64,1,30,52.0,52.0,1361.0
251277,2025-03-01,30,1,0.032,119.0,125.9,119.0,1,1,30,119.0,126.0,119.0
781865,2025-06-01,6,24,0.8,2720.0,116.9,113.3,1,24,30,113.0,117.0,2720.0
251277,2025-06-01,29,1,0.033,118.0,118.4,118.0,1,1,30,118.0,118.0,118.0
