listing_id,date,num_reviews,reviewers
1153863,2024-10-01,2,"483165000,230069052"
892352,2025-01-01,1,117650
5277539,2025-02-01,2,"133617770,88413554"
5277539,2024-12-01,1,122667326
5277539,2024-11-01,1,656690466
1604069,2025-02-01,3,"16305694,672147210,3292809"
1153863,2025-07-01,2,"28926156,146560993"
892352,2024-10-01,1,559302258
4930281,2025-04-01,1,485163643
4930281,2025-03-01,1,680070268
4930281,2025-07-01,4,"255456418,59471988,15792012,656329240"
4821997,2024-09-01,1,492661821
4930281,2025-08-01,2,"650181280,350434053"
4930281,2025-05-01,3,"248201913,468278270,334483906"
892352,2024-09-01,5,"26473786,23957704,185050189,95736375,653074831"
1153863,2024-11-01,3,"656802994,189106113,61724731"
5281143,2025-02-01,1,419605409
5281143,2025-06-01,1,139188442
2296506,2025-08-01,1,161573351
2296506,2024-11-01,1,131594069
5281143,2024-12-01,1,32217331
2296506,2025-05-01,1,371549799
2296506,2024-12-01,1,352778925
1348067,2024-11-01,1,234566089
2746751,2025-06-01,1,133731202
2746751,2025-02-01,2,"93918972,278521970"
2817835,2025-05-01,2,"388097411,66874184"
2817835,2024-10-01,3,"10076998,654612002,553621315"
2817835,2025-02-01,1,435106596
2746751,2025-03-01,2,"255966051,467732813"
2746751,2025-07-01,1,5290147
2817835,2025-01-01,2,"531298466,454693271"
2817835,2024-11-01,4,"37146930,879877,46109353,346833577"
2817835,2024-09-01,1,129487686
2746751,2025-05-01,3,"441440289,215927480,654642524"
2746751,2024-10-01,1,85945418
2746751,2024-11-01,2,"327451826,505251396"
2817835,2025-06-01,3,"418342702,116593176,161672185"
2817835,2024-12-01,2,"478108300,31055134"
2817835,2025-04-01,2,"685921543,485739"
2817835,2025-07-01,4,"179770088,62679002,6860094,585144036"
2817835,2025-03-01,1,42236017
4205747,2025-05-01,2,"17871436,189930275"
401823,2024-10-01,1,372507945
2817835,2025-08-01,1,489245697
2746751,2024-09-01,1,556639872
3595227,2025-06-01,5,"234465517,46147425,370713161,128358194,38122342"
3950705,2025-05-01,3,"275525920,10654680,124509521"
1856109,2025-03-01,6,"550880994,651355005,207405739,580331826,667565847,14678391"
3849815,2025-03-01,2,"20341786,225303832"
3595227,2025-03-01,1,114817166
3950705,2024-12-01,2,"664302686,10654680"
5786064,2024-09-01,2,"591150788,113708876"
5786064,2025-02-01,2,"665708397,677347332"
3849815,2024-11-01,4,"471838142,653778453,292233466,161129098"
1856109,2025-02-01,2,"573670464,34590234"
3950705,2025-03-01,5,"98927344,95754611,681653110,539732380,352508574"
2316147,2025-02-01,1,62759712
3595227,2024-10-01,3,"42012027,213171948,231370429"
3595227,2025-02-01,2,"247422195,198222315"
3950705,2025-01-01,2,"112777787,671088085"
995337,2025-06-01,5,"76269523,698803513,168637538,44786381,86071987"
3849815,2025-05-01,2,"21175079,687450216"
3595227,2025-04-01,4,"175627938,239345698,523369906,416622326"
3950705,2024-11-01,6,"13156168,232175055,122300503,85738017,2455221,31118354"
2316147,2025-05-01,1,117669206
1856109,2025-06-01,3,"35746322,652577390,678717259"
1856109,2024-09-01,4,"291499048,22583440,207818924,238846730"
2592785,2025-01-01,1,147546111
3595227,2025-01-01,2,"563451157,527623893"
5960293,2025-06-01,1,674322551
3849815,2025-06-01,2,"409517648,159067260"
3950705,2024-10-01,1,406450506
1856109,2025-01-01,1,419461410
2316147,2025-03-01,1,69575604
3595227,2025-05-01,2,"76336931,549845038"
995337,2025-07-01,1,10195034
3950705,2025-07-01,4,"54744828,177214178,203147086,685982441"
3849815,2025-02-01,1,68356630
5786064,2024-11-01,4,"508872567,6604934,155658182,481196820"
2592785,2024-10-01,6,"165488478,155085510,559312853,445133160,123146353,93656702"
5598800,2024-10-01,1,157647141
1856109,2025-04-01,1,40564673
3950705,2025-04-01,1,549338910
5960293,2025-03-01,1,675034886
2316147,2025-04-01,1,797230
3595227,2024-12-01,3,"41320562,338688907,76758888"
2316147,2024-10-01,1,67417379
5598800,2025-04-01,2,"242943678,182342715"
5786064,2025-07-01,1,158563409
995337,2025-04-01,2,"535824786,413563619"
5598800,2024-11-01,3,"73953451,387337091,120971121"
3950705,2025-02-01,3,"53697520,3495597,676476603"
5786064,2024-10-01,3,"510180227,162107345,572499924"
3849815,2025-01-01,2,"438114039,18047948"
5598800,2024-09-01,6,"310819117,166235324,105811275,356948919,17525331,472606979"
5598800,2025-07-01,4,"14078148,3991711,188021843,664655310"
995337,2025-08-01,1,394581511
2592785,2024-09-01,7,"521414062,447763686,127628053,65817700,15985823,511764139,455750667"
2592785,2024-11-01,5,"521414062,22170691,486064667,14315205,374662646"
1856109,2025-05-01,3,"579009507,216442092,526336779"
3595227,2025-07-01,2,"446715741,94939497"
3595227,2024-11-01,5,"29579992,658529696,244951861,40427627,119207630"
5598800,2025-05-01,3,"144419325,561944169,324294574"
5598800,2025-06-01,3,"73022991,184548746,417031936"
5786064,2025-01-01,1,413984689
3950705,2025-06-01,1,204933847
3849815,2024-09-01,1,592632197
1856109,2024-10-01,2,"23312956,135284706"
1856109,2024-11-01,1,458954963
995337,2025-05-01,2,"95915554,9306057"
3950705,2024-09-01,4,"401796,71879820,4811108,13473808"
5598800,2025-03-01,2,"217714036,9093531"
5786064,2025-06-01,1,162543715
4663579,2025-08-01,1,524720430
1912746,2025-06-01,1,662717254
4663579,2025-01-01,1,675201061
2474185,2024-09-01,2,"91914395,519385712"
5942736,2024-12-01,1,5512229
4663579,2025-06-01,1,93364551
5942736,2024-11-01,2,"126422591,290686894"
4663579,2025-05-01,2,"132701629,127518530"
5942736,2024-09-01,3,"195268209,186332592,909801"
5942736,2024-10-01,2,"11084412,87527886"
4663579,2025-03-01,2,"19872100,335719798"
4663579,2024-11-01,2,"121855953,115776449"
2474185,2024-10-01,2,"204728424,110545433"
4663579,2025-07-01,5,"163592100,546968612,697294514,148520024,212313260"
1912746,2025-08-01,1,144512521
4663579,2025-04-01,2,"678101922,674291230"
2474185,2024-11-01,2,"92845102,9228656"
4663579,2025-02-01,3,"65134831,654212101,672853557"
4663579,2024-09-01,5,"353437472,53844987,86991423,27120514,8467932"
4663579,2024-10-01,1,2993449
