feature,importance
property_type_Room in boutique hotel,0.0005873259715209778
amenity_138,0.0005773191098929222
neighbourhood_cleansed_Astoria,0.0005756476431318996
amenity_36,0.000565713385894663
neighbourhood_cleansed_Flatbush,0.0005505900503755212
amenity_47,0.0005352050550178469
amenity_235,0.0005301977597566219
amenity_15,0.0005233642336283106
amenity_41,0.000518192725480148
property_type_Private room in condo,0.0005141366922563605
neighbourhood_cleansed_East Village,0.0005105871905446512
amenity_96,0.0005076212600016569
property_type_Entire place,0.0005056991721621201
amenity_86,0.0004934192817332684
neighbourhood_cleansed_Gramercy,0.0004920397622739516
amenity_95,0.0004841705948734835
amenity_84,0.0004720634411393616
amenity_191,0.0004695588810587454
amenity_23,0.00046085722848313894
amenity_16,0.00045920635353526474
amenity_134,0.0004583882464070912
neighbourhood_cleansed_Financial District,0.00045265091819702994
neighbourhood_cleansed_Gowanus,0.0004521163648817026
amenity_172,0.0004511955401070117
amenity_151,0.00044369019188298406
amenity_55,0.00044305706730769686
amenity_174,0.00044123034547107495
amenity_139,0.00043768607496534514
neighbourhood_cleansed_Long Island City,0.0004349896968845966
property_type_Entire serviced apartment,0.0004343112272428968
amenity_253,0.00043028591946311603
amenity_228,0.000429327677171865
neighbourhood_cleansed_Carroll Gardens,0.0004246163433282236
neighbourhood_cleansed_East Harlem,0.00041947188593685874
amenity_249,0.00041032499776807926
amenity_51,0.0004030667520298782
neighbourhood_cleansed_Lower East Side,0.00040162364038638464
neighbourhood_cleansed_Sunset Park,0.000399207026181498
amenity_132,0.0003870014616135043
amenity_64,0.00038267159056072923
neighbourhood_cleansed_SoHo,0.00037416707351594524
amenity_29,0.00036172687262046497
amenity_76,0.00035877500205850563
neighbourhood_cleansed_Greenwich Village,0.00034718163106074577
neighbourhood_cleansed_East New York,0.0003358368065810297
amenity_153,0.0003314144468298111
amenity_61,0.0003307793204425929
neighbourhood_cleansed_Woodhaven,0.00032912942949905167
amenity_83,0.00032205822952811305
neighbourhood_cleansed_Woodside,0.0003218640974017748
room_type_Shared room,0.0003188078040807723
