City,Region,Country,Date,listings_url,geojson_url
Ghent,Flemish Region,Belgium,2025-03-19,https://data.insideairbnb.com/belgium/vlg/ghent/2025-03-19/data/listings.csv.gz,https://data.insideairbnb.com/belgium/vlg/ghent/2025-03-19/visualisations/neighbourhoods.geojson
Ghent,Flemish Region,Belgium,2024-12-25,https://data.insideairbnb.com/belgium/vlg/ghent/2024-12-25/data/listings.csv.gz,https://data.insideairbnb.com/belgium/vlg/ghent/2024-12-25/visualisations/neighbourhoods.geojson
Girona,Catalonia,Spain,2025-06-28,https://data.insideairbnb.com/spain/catalonia/girona/2025-06-28/data/listings.csv.gz,https://data.insideairbnb.com/spain/catalonia/girona/2025-06-28/visualisations/neighbourhoods.geojson
Girona,Catalonia,Spain,2025-03-27,https://data.insideairbnb.com/spain/catalonia/girona/2025-03-27/data/listings.csv.gz,https://data.insideairbnb.com/spain/catalonia/girona/2025-03-27/visualisations/neighbourhoods.geojson
Girona,Catalonia,Spain,2024-12-31,https://data.insideairbnb.com/spain/catalonia/girona/2024-12-31/data/listings.csv.gz,https://data.insideairbnb.com/spain/catalonia/girona/2024-12-31/visualisations/neighbourhoods.geojson
Greater Manchester,England,United Kingdom,2025-06-24,https://data.insideairbnb.com/united-kingdom/england/greater-manchester/2025-06-24/data/listings.csv.gz,https://data.insideairbnb.com/united-kingdom/england/greater-manchester/2025-06-24/visualisations/neighbourhoods.geojson
Greater Manchester,England,United Kingdom,2025-03-18,https://data.insideairbnb.com/united-kingdom/england/greater-manchester/2025-03-18/data/listings.csv.gz,https://data.insideairbnb.com/united-kingdom/england/greater-manchester/2025-03-18/visualisations/neighbourhoods.geojson
Greater Manchester,England,United Kingdom,2024-12-25,https://data.insideairbnb.com/united-kingdom/england/greater-manchester/2024-12-25/data/listings.csv.gz,https://data.insideairbnb.com/united-kingdom/england/greater-manchester/2024-12-25/visualisations/neighbourhoods.geojson
Hawaii,Hawaii,United States,2025-06-13,https://data.insideairbnb.com/united-states/hi/hawaii/2025-06-13/data/listings.csv.gz,https://data.insideairbnb.com/united-states/hi/hawaii/2025-06-13/visualisations/neighbourhoods.geojson
Hawaii,Hawaii,United States,2025-03-06,https://data.insideairbnb.com/united-states/hi/hawaii/2025-03-06/data/listings.csv.gz,https://data.insideairbnb.com/united-states/hi/hawaii/2025-03-06/visualisations/neighbourhoods.geojson
Hawaii,Hawaii,United States,2024-12-12,https://data.insideairbnb.com/united-states/hi/hawaii/2024-12-12/data/listings.csv.gz,https://data.insideairbnb.com/united-states/hi/hawaii/2024-12-12/visualisations/neighbourhoods.geojson
Hong Kong,Hong Kong,China,2025-06-21,https://data.insideairbnb.com/china/hk/hong-kong/2025-06-21/data/listings.csv.gz,https://data.insideairbnb.com/china/hk/hong-kong/2025-06-21/visualisations/neighbourhoods.geojson
Hong Kong,Hong Kong,China,2025-03-16,https://data.insideairbnb.com/china/hk/hong-kong/2025-03-16/data/listings.csv.gz,https://data.insideairbnb.com/china/hk/hong-kong/2025-03-16/visualisations/neighbourhoods.geojson
Hong Kong,Hong Kong,China,2024-12-22,https://data.insideairbnb.com/china/hk/hong-kong/2024-12-22/data/listings.csv.gz,https://data.insideairbnb.com/china/hk/hong-kong/2024-12-22/visualisations/neighbourhoods.geojson
Istanbul,Marmara,Turkey,2025-06-27,https://data.insideairbnb.com/turkey/marmara/istanbul/2025-06-27/data/listings.csv.gz,https://data.insideairbnb.com/turkey/marmara/istanbul/2025-06-27/visualisations/neighbourhoods.geojson
Istanbul,Marmara,Turkey,2025-03-26,https://data.insideairbnb.com/turkey/marmara/istanbul/2025-03-26/data/listings.csv.gz,https://data.insideairbnb.com/turkey/marmara/istanbul/2025-03-26/visualisations/neighbourhoods.geojson
Istanbul,Marmara,Turkey,2024-12-30,https://data.insideairbnb.com/turkey/marmara/istanbul/2024-12-30/data/listings.csv.gz,https://data.insideairbnb.com/turkey/marmara/istanbul/2024-12-30/visualisations/neighbourhoods.geojson
Jersey City,New Jersey,United States,2025-06-22,https://data.insideairbnb.com/united-states/nj/jersey-city/2025-06-22/data/listings.csv.gz,https://data.insideairbnb.com/united-states/nj/jersey-city/2025-06-22/visualisations/neighbourhoods.geojson
Jersey City,New Jersey,United States,2025-03-17,https://data.insideairbnb.com/united-states/nj/jersey-city/2025-03-17/data/listings.csv.gz,https://data.insideairbnb.com/united-states/nj/jersey-city/2025-03-17/visualisations/neighbourhoods.geojson
Jersey City,New Jersey,United States,2024-12-23,https://data.insideairbnb.com/united-states/nj/jersey-city/2024-12-23/data/listings.csv.gz,https://data.insideairbnb.com/united-states/nj/jersey-city/2024-12-23/visualisations/neighbourhoods.geojson
Lisbon,Lisbon,Portugal,2025-09-21,https://data.insideairbnb.com/portugal/lisbon/lisbon/2025-09-21/data/listings.csv.gz,https://data.insideairbnb.com/portugal/lisbon/lisbon/2025-09-21/visualisations/neighbourhoods.geojson
Lisbon,Lisbon,Portugal,2025-06-15,https://data.insideairbnb.com/portugal/lisbon/lisbon/2025-06-15/data/listings.csv.gz,https://data.insideairbnb.com/portugal/lisbon/lisbon/2025-06-15/visualisations/neighbourhoods.geojson
Lisbon,Lisbon,Portugal,2025-03-08,https://data.insideairbnb.com/portugal/lisbon/lisbon/2025-03-08/data/listings.csv.gz,https://data.insideairbnb.com/portugal/lisbon/lisbon/2025-03-08/visualisations/neighbourhoods.geojson
Lisbon,Lisbon,Portugal,2024-12-14,https://data.insideairbnb.com/portugal/lisbon/lisbon/2024-12-14/data/listings.csv.gz,https://data.insideairbnb.com/portugal/lisbon/lisbon/2024-12-14/visualisations/neighbourhoods.geojson
London,England,United Kingdom,2025-06-10,https://data.insideairbnb.com/united-kingdom/england/london/2025-06-10/data/listings.csv.gz,https://data.insideairbnb.com/united-kingdom/england/london/2025-06-10/visualisations/neighbourhoods.geojson
